TAZ,District,Sector,LUZ,Location,PlanDist,CityI,CityII,CityIII,Municipality,CityI-NC,CityII-NC,CityIII-NC
410,4,12,410,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
411,4,12,411,City,Whitemud,Rest City,Secondary Node,Primary Corridor,1-Edmonton,City,NC,NC
412,4,12,412,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
413,4,12,413,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
414,4,12,414,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
415,4,12,415,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
416,4,12,416,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
417,4,12,417,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
418,4,12,418,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
419,4,12,419,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
420,4,12,420,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
421,4,12,421,City,Whitemud,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
501,5,8,501,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
502,5,8,502,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
503,5,8,503,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
504,5,8,504,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
505,5,8,505,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
506,5,8,506,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
507,5,8,507,City,Jasper Place,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
508,5,8,508,City,Jasper Place,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
509,5,8,509,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
510,5,8,510,City,Jasper Place,Primary Node,Rest City,Rest City,1-Edmonton,NC,City,City
511,5,8,511,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
512,5,8,512,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
513,5,8,513,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
514,5,8,514,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
515,5,8,515,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
516,5,8,516,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
517,5,8,517,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
518,5,8,518,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
519,5,8,519,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
520,5,8,520,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
521,5,8,521,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
522,5,8,522,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
523,5,8,523,City,Jasper Place,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
524,5,8,524,City,Jasper Place,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
525,5,8,525,City,Jasper Place,Primary Node,Rest City,Rest City,1-Edmonton,NC,City,City
526,5,8,526,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
527,5,8,527,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
528,5,8,528,City,Jasper Place,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
529,5,8,529,City,Jasper Place,Primary Corridor,Secondary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
530,5,8,530,City,Jasper Place,Secondary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
531,5,8,531,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
532,5,8,532,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
533,5,8,533,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
534,5,8,534,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
535,5,8,535,City,Jasper Place,Primary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
536,5,8,536,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
537,5,8,537,City,Jasper Place,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
538,5,8,538,City,Jasper Place,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
539,5,8,539,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
540,5,8,540,City,Jasper Place,Primary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
541,5,8,541,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
542,5,8,542,City,Jasper Place,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
543,5,8,543,City,Jasper Place,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
544,5,8,544,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
545,5,8,545,City,Central,Secondary Corridor,Rest City,Secondary Corridor,1-Edmonton,NC,City,NC
546,5,8,546,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
547,5,8,547,City,Central,Primary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
548,5,8,548,City,Central,Primary Corridor,Tertiary Node,Primary Corridor,1-Edmonton,NC,NC,NC
549,5,8,549,City,Jasper Place,Primary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
550,5,8,550,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
551,5,8,551,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
552,5,8,552,City,Central,Primary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
553,5,8,553,City,Central,Primary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
554,5,8,554,City,Jasper Place,Primary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
555,5,8,555,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
556,5,8,556,City,Jasper Place,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
557,5,8,557,City,Jasper Place,Primary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
558,5,8,558,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
559,5,8,559,City,Jasper Place,Primary Corridor,Tertiary Node,Primary Corridor,1-Edmonton,NC,NC,NC
560,5,8,560,City,Jasper Place,Primary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
561,5,8,561,City,Jasper Place,Primary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
601,6,13,601,City,West Edmonton,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
602,6,13,602,City,West Edmonton,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
603,6,13,603,City,West Edmonton,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
604,6,13,604,City,West Edmonton,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
605,6,13,605,City,West Edmonton,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
606,6,13,606,City,West Edmonton,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
607,6,13,607,City,West Edmonton,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
608,6,13,608,City,West Edmonton,Primary Node,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
609,6,13,609,City,West Edmonton,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
610,6,13,610,City,West Edmonton,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
611,6,13,611,City,West Edmonton,Primary Node,Primary Node,Primary Node,1-Edmonton,NC,NC,NC
612,6,13,612,City,West Edmonton,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
613,6,13,613,City,West Edmonton,Rest City,Secondary Corridor,Rest City,1-Edmonton,City,NC,City
614,6,13,614,City,West Edmonton,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
615,6,13,615,City,West Edmonton,Rest City,Secondary Corridor,Rest City,1-Edmonton,City,NC,City
616,6,13,616,City,West Edmonton,Primary Node,Secondary Corridor,Secondary Corridor,1-Edmonton,NC,NC,NC
617,6,13,617,City,West Edmonton,Primary Node,Rest City,Rest City,1-Edmonton,NC,City,City
701,7,9,701,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
702,7,9,702,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
703,7,9,703,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
704,7,9,704,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
705,7,9,705,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
706,7,9,706,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
707,7,9,707,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
708,7,9,708,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
709,7,9,709,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
710,7,9,710,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
711,7,9,711,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
712,7,9,712,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
713,7,9,713,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
714,7,9,714,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
715,7,9,715,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
716,7,9,716,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
717,7,9,717,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
718,7,9,718,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
719,7,9,719,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
720,7,9,720,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
721,7,9,721,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
722,7,9,722,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
723,7,9,723,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
724,7,9,724,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
725,7,9,725,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
726,7,9,726,City,Jasper Place,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
801,8,4,801,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
802,8,4,802,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
803,8,4,803,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
804,8,4,804,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
805,8,4,805,City,Central,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
806,8,4,806,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
807,8,4,807,City,118 Avenue,Primary Node,Secondary Corridor,Rest City,1-Edmonton,NC,NC,City
808,8,4,808,City,118 Avenue,Primary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
809,8,4,809,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
810,8,4,810,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
811,8,4,811,City,118 Avenue,Primary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
812,8,4,812,City,118 Avenue,Primary Node,Secondary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
813,8,5,813,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
814,8,5,814,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
815,8,5,815,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
816,8,5,816,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
817,8,5,817,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
818,8,5,818,City,118 Avenue,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
819,8,5,819,City,118 Avenue,Rest City,Secondary Node,Secondary Node,1-Edmonton,City,NC,NC
820,8,4,820,City,Central,Secondary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
821,8,4,821,City,Central,Primary Corridor,Rest City,Primary Corridor,1-Edmonton,NC,City,NC
822,8,4,822,City,118 Avenue,Primary Node,Rest City,Rest City,1-Edmonton,NC,City,City
823,8,5,823,City,118 Avenue,Rest City,Secondary Corridor,Secondary Corridor,1-Edmonton,City,NC,NC
824,8,4,824,City,Central,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
825,8,4,825,City,118 Avenue,Primary Node,Rest City,Secondary Node,1-Edmonton,NC,City,NC
826,8,5,826,City,118 Avenue,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
827,8,4,827,City,118 Avenue,Primary Node,Rest City,Secondary Node,1-Edmonton,NC,City,NC
828,8,4,828,City,118 Avenue,Primary Node,Rest City,Secondary Node,1-Edmonton,NC,City,NC
829,8,4,829,City,118 Avenue,Primary Node,Rest City,Secondary Node,1-Edmonton,NC,City,NC
830,8,4,830,City,118 Avenue,Primary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
831,8,4,831,City,118 Avenue,Primary Node,Rest City,Secondary Node,1-Edmonton,NC,City,NC
832,8,4,832,City,118 Avenue,Primary Node,Rest City,Secondary Node,1-Edmonton,NC,City,NC
833,8,4,833,City,118 Avenue,Primary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
834,8,4,834,City,118 Avenue,Primary Node,Rest City,Secondary Node,1-Edmonton,NC,City,NC
835,8,5,835,City,118 Avenue,Primary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
836,8,5,836,City,118 Avenue,Primary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
837,8,4,837,City,Central,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
838,8,4,838,City,118 Avenue,Primary Node,Primary Node,Primary Corridor,1-Edmonton,NC,NC,NC
839,8,4,839,City,118 Avenue,Primary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
840,8,4,840,City,118 Avenue,Primary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
841,8,4,841,City,118 Avenue,Primary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
842,8,4,842,City,118 Avenue,Primary Node,Rest City,Rest City,1-Edmonton,NC,City,City
843,8,5,843,City,118 Avenue,Rest City,Rest City,Secondary Corridor,1-Edmonton,City,City,NC
844,8,4,844,City,118 Avenue,Primary Node,Rest City,Secondary Node,1-Edmonton,NC,City,NC
845,8,4,845,City,118 Avenue,Primary Node,Rest City,Secondary Node,1-Edmonton,NC,City,NC
846,8,4,846,City,118 Avenue,Primary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
847,8,4,847,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
848,8,5,848,City,118 Avenue,Primary Node,Secondary Node,Primary Corridor,1-Edmonton,NC,NC,NC
849,8,4,849,City,Central,Secondary Node,Secondary Node,Rest City,1-Edmonton,NC,NC,City
850,8,4,850,City,Central,Secondary Node,Secondary Node,Rest City,1-Edmonton,NC,NC,City
851,8,5,851,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
852,8,5,852,City,118 Avenue,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
853,8,4,853,City,118 Avenue,Primary Node,Primary Node,Secondary Node,1-Edmonton,NC,NC,NC
854,8,5,854,City,118 Avenue,Primary Node,Secondary Node,Secondary Node,1-Edmonton,NC,NC,NC
855,8,4,855,City,Central,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
856,8,4,856,City,118 Avenue,Primary Corridor,Secondary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
857,8,4,857,City,118 Avenue,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
858,8,5,858,City,118 Avenue,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
859,8,5,859,City,118 Avenue,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
860,8,5,860,City,118 Avenue,Primary Corridor,Primary Corridor,Primary Corridor,1-Edmonton,NC,NC,NC
901,9,4,901,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
902,9,4,902,City,Northwest,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
903,9,4,903,City,Northwest,Rest City,Rest City,Primary Corridor,1-Edmonton,City,City,NC
904,9,4,904,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
905,9,4,905,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
906,9,4,906,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
907,9,4,907,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
908,9,4,908,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
909,9,4,909,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
910,9,4,910,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
911,9,4,911,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
912,9,4,912,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
913,9,4,913,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
914,9,4,914,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
915,9,4,915,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
916,9,4,916,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
917,9,4,917,City,Northwest,Rest City,Secondary Node,Secondary Corridor,1-Edmonton,City,NC,NC
918,9,4,918,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
919,9,4,919,City,Northwest,Rest City,Rest City,Rest City,1-Edmonton,City,City,City
